"chord" "key" "music"
"173" "C#" "A" "muse apocalypse please"
"174" "A" "A" "muse apocalypse please"
"175" "C#" "A" "muse apocalypse please"
"176" "F#m" "A" "muse apocalypse please"
"177" "C#m" "A" "muse apocalypse please"
"178" "F#m" "A" "muse apocalypse please"
"179" "D" "A" "muse apocalypse please"
"180" "E" "A" "muse apocalypse please"
"181" "A" "A" "muse apocalypse please"
"182" "C#" "A" "muse apocalypse please"
"183" "A" "A" "muse apocalypse please"
"184" "C#" "A" "muse apocalypse please"
"185" "F#m" "A" "muse apocalypse please"
"186" "C#m" "A" "muse apocalypse please"
"187" "F#m" "A" "muse apocalypse please"
"188" "D" "A" "muse apocalypse please"
"189" "E" "A" "muse apocalypse please"
"190" "A" "A" "muse apocalypse please"
"191" "C#" "A" "muse apocalypse please"
"192" "A" "A" "muse apocalypse please"
"193" "C#" "A" "muse apocalypse please"
"194" "E" "D" "muse ashamed"
"195" "A" "D" "muse ashamed"
"196" "D" "D" "muse ashamed"
"197" "G" "D" "muse ashamed"
"198" "B" "D" "muse ashamed"
"199" "E" "D" "muse ashamed"
"200" "B" "D" "muse ashamed"
"201" "B" "D" "muse ashamed"
"202" "Am" "C" "muse black black heart"
"203" "Fmaj7" "C" "muse black black heart"
"204" "G6" "C" "muse black black heart"
"205" "E7" "C" "muse black black heart"
"206" "Am" "C" "muse black black heart"
"207" "Fmaj7" "C" "muse black black heart"
"208" "G6" "C" "muse black black heart"
"209" "E7" "C" "muse black black heart"
"210" "Am" "C" "muse black black heart"
"211" "Fmaj7" "C" "muse black black heart"
"212" "G6" "C" "muse black black heart"
"213" "E7" "C" "muse black black heart"
"214" "Am" "C" "muse black black heart"
"215" "Fmaj7" "C" "muse black black heart"
"216" "G6" "C" "muse black black heart"
"217" "E7" "C" "muse black black heart"
"218" "Am" "C" "muse black black heart"
"219" "Fmaj7" "C" "muse black black heart"
"220" "G6" "C" "muse black black heart"
"221" "E" "C" "muse black black heart"
"222" "E7" "C" "muse black black heart"
"223" "Am" "C" "muse black black heart"
"224" "Fmaj7" "C" "muse black black heart"
"225" "G6" "C" "muse black black heart"
"226" "E7" "C" "muse black black heart"
"227" "Am" "C" "muse black black heart"
"228" "Fmaj7" "C" "muse black black heart"
"229" "G6" "C" "muse black black heart"
"230" "E" "C" "muse black black heart"
"231" "E7" "C" "muse black black heart"
"232" "Am" "C" "muse black black heart"
"233" "Fmaj7" "C" "muse black black heart"
"234" "G6" "C" "muse black black heart"
"235" "E7" "C" "muse black black heart"
"236" "Am" "C" "muse black black heart"
"237" "Fmaj7" "C" "muse black black heart"
"238" "G6" "C" "muse black black heart"
"239" "E7" "C" "muse black black heart"
"240" "Am" "C" "muse black black heart"
"241" "Fmaj7" "C" "muse black black heart"
"242" "G6" "C" "muse black black heart"
"243" "E7" "C" "muse black black heart"
"244" "Am" "C" "muse black black heart"
"245" "Fmaj7" "C" "muse black black heart"
"246" "G" "C" "muse black black heart"
"247" "E" "C" "muse black black heart"
"248" "Am" "C" "muse black black heart"
"249" "Fmaj7" "C" "muse black black heart"
"250" "G" "C" "muse black black heart"
"251" "E" "C" "muse black black heart"
"252" "Am" "C" "muse black black heart"
"253" "Fmaj7" "C" "muse black black heart"
"254" "G" "C" "muse black black heart"
"255" "E" "C" "muse black black heart"
"256" "Am" "C" "muse black black heart"
"257" "Fmaj7" "C" "muse black black heart"
"258" "G" "C" "muse black black heart"
"259" "E7" "C" "muse black black heart"
"260" "E" "C" "muse black black heart"
"261" "E" "C" "muse black black heart"
"262" "Am" "C" "muse black black heart"
"263" "Fmaj7" "C" "muse black black heart"
"264" "G" "C" "muse black black heart"
"265" "E" "C" "muse black black heart"
"266" "Am" "C" "muse black black heart"
"267" "Fmaj7" "C" "muse black black heart"
"268" "G" "C" "muse black black heart"
"269" "E" "C" "muse black black heart"
"270" "E" "C" "muse black black heart"
"271" "Am" "C" "muse black black heart"
"272" "Fmaj7" "C" "muse black black heart"
"273" "G" "C" "muse black black heart"
"274" "E" "C" "muse black black heart"
"275" "Am" "C" "muse black black heart"
"276" "Fmaj7" "C" "muse black black heart"
"277" "G" "C" "muse black black heart"
"278" "E" "C" "muse black black heart"
"279" "Bb" "A#" "muse blackout"
"280" "Dm" "A#" "muse blackout"
"281" "D#" "A#" "muse blackout"
"282" "F" "A#" "muse blackout"
"283" "A7" "A#" "muse blackout"
"284" "Bb" "A#" "muse blackout"
"285" "Dm" "A#" "muse blackout"
"286" "D#" "A#" "muse blackout"
"287" "F" "A#" "muse blackout"
"288" "A7" "A#" "muse blackout"
"289" "Gm" "A#" "muse blackout"
"290" "Bb" "A#" "muse blackout"
"291" "D#" "A#" "muse blackout"
"292" "D#" "A#" "muse blackout"
"293" "D#" "A#" "muse blackout"
"294" "D" "A#" "muse blackout"
"295" "D#" "A#" "muse blackout"
"296" "D" "A#" "muse blackout"
"297" "F" "A#" "muse blackout"
"298" "Bb" "A#" "muse blackout"
"299" "Dm" "A#" "muse blackout"
"300" "D#" "A#" "muse blackout"
"301" "F" "A#" "muse blackout"
"302" "A7" "A#" "muse blackout"
"303" "Bb" "A#" "muse blackout"
"304" "Dm" "A#" "muse blackout"
"305" "D#" "A#" "muse blackout"
"306" "F" "A#" "muse blackout"
"307" "A7" "A#" "muse blackout"
"308" "Gm" "A#" "muse blackout"
"309" "Bb" "A#" "muse blackout"
"310" "D#" "A#" "muse blackout"
"311" "D#" "A#" "muse blackout"
"312" "D#" "A#" "muse blackout"
"313" "D" "A#" "muse blackout"
"314" "D#" "A#" "muse blackout"
"315" "D" "A#" "muse blackout"
"316" "F" "A#" "muse blackout"
"317" "Bb" "A#" "muse blackout"
"318" "Dm" "A#" "muse blackout"
"319" "D#" "A#" "muse blackout"
"320" "F" "A#" "muse blackout"
"321" "A7" "A#" "muse blackout"
"322" "Bb" "A#" "muse blackout"
"323" "Dm" "A#" "muse blackout"
"324" "D#" "A#" "muse blackout"
"325" "F" "A#" "muse blackout"
"326" "A7" "A#" "muse blackout"
"327" "Gm" "A#" "muse blackout"
"328" "Bb" "A#" "muse blackout"
"329" "D#" "A#" "muse blackout"
"330" "D#" "A#" "muse blackout"
"331" "D#" "A#" "muse blackout"
"332" "D" "A#" "muse blackout"
"333" "D#" "A#" "muse blackout"
"334" "D" "A#" "muse blackout"
"335" "F" "A#" "muse blackout"
"336" "Cm" "D#" "muse bliss"
"337" "Bb" "D#" "muse bliss"
"338" "Fm" "D#" "muse bliss"
"339" "Cm" "D#" "muse bliss"
"340" "Bb" "D#" "muse bliss"
"341" "Fm" "D#" "muse bliss"
"342" "Cm" "D#" "muse bliss"
"343" "Cm" "D#" "muse bliss"
"344" "Bb" "D#" "muse bliss"
"345" "Fm" "D#" "muse bliss"
"346" "Cm" "D#" "muse bliss"
"347" "Bb" "D#" "muse bliss"
"348" "Fm" "D#" "muse bliss"
"349" "Cm" "D#" "muse bliss"
"350" "Bb" "D#" "muse bliss"
"351" "Fm" "D#" "muse bliss"
"352" "Cm" "D#" "muse bliss"
"353" "Bb" "D#" "muse bliss"
"354" "Fm" "D#" "muse bliss"
"355" "Cm" "D#" "muse bliss"
"356" "C" "D#" "muse bliss"
"357" "Am" "D#" "muse bliss"
"358" "G" "D#" "muse bliss"
"359" "C" "D#" "muse bliss"
"360" "Am" "D#" "muse bliss"
"361" "E" "D#" "muse bliss"
"362" "Fm" "D#" "muse bliss"
"363" "Cm" "D#" "muse bliss"
"364" "Bb" "D#" "muse bliss"
"365" "Fm" "D#" "muse bliss"
"366" "Cm" "D#" "muse bliss"
"367" "Bb" "D#" "muse bliss"
"368" "Fm" "D#" "muse bliss"
"369" "Cm" "D#" "muse bliss"
"370" "Bb" "D#" "muse bliss"
"371" "Fm" "D#" "muse bliss"
"372" "Cm" "D#" "muse bliss"
"373" "Bb" "D#" "muse bliss"
"374" "Fm" "D#" "muse bliss"
"375" "Cm" "D#" "muse bliss"
"376" "C" "D#" "muse bliss"
"377" "Am" "D#" "muse bliss"
