"id" "danceability" "energy" "key" "loudness" "mode" "speechiness" "acousticness" "instrumentalness" "liveness" "valence" "tempo" "duration_ms" "time_signature" "uri" "analysis_url" "name"
"20" "5ZWVJkzUQlHaRtW5mgRrll" 0.25 0.356 7 -10.939 0 0.0308 0.916 0.00216 0.0927 0.124 144.265 274427 4 "spotify:track:5ZWVJkzUQlHaRtW5mgRrll" "https://api.spotify.com/v1/audio-analysis/5ZWVJkzUQlHaRtW5mgRrll" "The Void (Acoustic Version)"
"21" "2daZovie6pc2ZK7StayD1K" 0.65 0.758 8 -5.021 1 0.0507 0.000259 0.000492 0.276 0.603 100.005 262947 4 "spotify:track:2daZovie6pc2ZK7StayD1K" "https://api.spotify.com/v1/audio-analysis/2daZovie6pc2ZK7StayD1K" "Dead Inside"
"22" "2E5tWJSusHxpaksg1yfsIu" 0.668 0.655 7 -10.155 0 0.472 0.595 4.79e-05 0.221 0.36 97.57 21148 4 "spotify:track:2E5tWJSusHxpaksg1yfsIu" "https://api.spotify.com/v1/audio-analysis/2E5tWJSusHxpaksg1yfsIu" "[Drill Sergeant]"
"23" "383QXk8nb2YrARMUwDdjQS" 0.555 0.883 2 -3.426 1 0.0341 0.00114 0.041 0.868 0.507 125.02 316718 4 "spotify:track:383QXk8nb2YrARMUwDdjQS" "https://api.spotify.com/v1/audio-analysis/383QXk8nb2YrARMUwDdjQS" "Psycho"
"24" "2qkmPUG7ARsRwhVICQVwQS" 0.482 0.926 7 -4.789 1 0.0549 0.00952 0 0.311 0.371 130.007 231973 4 "spotify:track:2qkmPUG7ARsRwhVICQVwQS" "https://api.spotify.com/v1/audio-analysis/2qkmPUG7ARsRwhVICQVwQS" "Mercy"
"25" "1244xKUG27TnmQhUJlo3gU" 0.421 0.892 7 -4.235 1 0.0564 3.33e-05 0.00331 0.141 0.398 95.866 359520 4 "spotify:track:1244xKUG27TnmQhUJlo3gU" "https://api.spotify.com/v1/audio-analysis/1244xKUG27TnmQhUJlo3gU" "Reapers"
"26" "6xq3Bd7MvZVa7pda9tC4MW" 0.47 0.925 2 -4.181 1 0.047 0.000143 0.0417 0.449 0.279 130.009 273760 4 "spotify:track:6xq3Bd7MvZVa7pda9tC4MW" "https://api.spotify.com/v1/audio-analysis/6xq3Bd7MvZVa7pda9tC4MW" "The Handler"
"27" "3KNnA3zH8wInPB48DRQ6Lg" 0.461 0.433 4 -21.59 0 0.321 0.709 0 0.759 0.421 100.418 54621 3 "spotify:track:3KNnA3zH8wInPB48DRQ6Lg" "https://api.spotify.com/v1/audio-analysis/3KNnA3zH8wInPB48DRQ6Lg" "[JFK]"
"28" "4FnAEvbT3mjxpkUKpGwXYM" 0.419 0.878 2 -3.917 1 0.0396 0.000114 0.00104 0.713 0.397 76.996 273005 4 "spotify:track:4FnAEvbT3mjxpkUKpGwXYM" "https://api.spotify.com/v1/audio-analysis/4FnAEvbT3mjxpkUKpGwXYM" "Defector"
"29" "7BGg9wSF98j6FzvHGkq3f0" 0.228 0.938 7 -4.193 1 0.0818 0.00342 0 0.35 0.2 124.667 245711 5 "spotify:track:7BGg9wSF98j6FzvHGkq3f0" "https://api.spotify.com/v1/audio-analysis/7BGg9wSF98j6FzvHGkq3f0" "Revolt"
"30" "2z1D4PqjWYEsXeXxE6euQ2" 0.295 0.495 9 -7.646 1 0.0316 0.215 0.0112 0.122 0.115 72.09 347997 4 "spotify:track:2z1D4PqjWYEsXeXxE6euQ2" "https://api.spotify.com/v1/audio-analysis/2z1D4PqjWYEsXeXxE6euQ2" "Aftermath"
